,location,latitude,longitude
171,"Roseau, Dominica",15.30288,-61.390049
172,"Djibouti, Djibouti",11.60047,43.150829
173,"Copenhagen, Denmark",55.676098,12.568337
174,"Prague, Czech Republic",50.075539,14.4378
175,"Prague, Czech Republic",50.075539,14.4378
176,"Nicosia, Cyprus",35.185566,33.382275
177,"Havana, Cuba",23.113592,-82.366592
178,"Zagreb, Croatia",45.81501,15.981919
179,"Abidjan, Côte d'Ivoire",33.8913,-6.31832
180,"San José, Costa Rica",9.928069,-84.090729
181,"Brazzaville, Congo, Republic of the",-4.2739,15.28151
182,"Kinshasa, Congo, Democratic Republic of the",-4.2739,15.28151
183,"Moroni, Comoros",-11.70379,43.255192
184,"Bogotá, Colombia",4.710989,-74.07209
185,"Shanghai, China",31.230391,121.473701
186,"Santiago, Chile",-33.448891,-70.669266
187,"N'Djamena, Chad",12.11218,15.06897
188,"Bangui, Central African Republic",4.36263,18.58198
189,"Praia, Cape Verde",14.9167,-23.5075
190,"Toronto, Canada",43.653225,-79.383186
191,"Douala, Cameroon",4.05486,9.69872
192,"Phnom Penh, Cambodia",11.556374,104.928207
193,"Bujumbura, Burundi",-3.38227,29.363581
194,"Ouagadougou, Burkina Faso",12.37153,-1.51992
195,"Sofia, Bulgaria",42.697708,23.321867
196,"Bandar Seri Begawan, Brunei",4.903052,114.939819
197,"São Paulo, Brazil",-23.55052,-46.633308
198,"Gaborone, Botswana",-24.66118,25.911751
199,"Sarajevo, Bosnia and Herzegovina",43.858181,18.41234
200,"Santa Cruz de la Sierra, Bolivia",-17.783279,-63.179161
201,"Thimphu, Bhutan",27.577391,89.623016
202,"Cotonou, Benin",6.35459,2.40374
203,"Belize City, Belize",17.49469,-88.189728
204,"Brussels, Belgium",50.850346,4.351721
205,"Minsk, Belarus",53.904541,27.561523
206,"Bridgetown, Barbados",13.096851,-59.614483
207,"Dhaka, Bangladesh",23.810331,90.412521
208,"Manama, Bahrain",26.228516,50.586048
209,"Nassau, Bahamas",25.047983,-77.355415
210,"Baku, Azerbaijan",40.409264,49.867092
211,"Vienna, Austria",48.208176,16.373819
212,"Sydney, Australia",-33.86882,151.20929
213,"Stepanakert, Artsakh",42.36966,-71.15833
214,"Yerevan, Armenia",40.179188,44.499104
215,"Buenos Aires, Argentina",-34.603683,-58.381557
216,"St. John's, Antigua and Barbuda",17.118481,-61.84013
217,"Luanda, Angola",-8.839988,13.289437
218,"Andorra la Vella, Andorra",42.50753,1.52182
219,"Algiers, Algeria",36.753769,3.058756
220,"Tirana, Albania",41.327545,19.818699
221,"Kabul, Afghanistan",34.555347,69.207489
222,"Sukhumi, Abkhazia",55.879742,49.050419
